,관서명,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거,구별
0,서울중부경찰서,1,1,5,7,132,63,1057,415,1176,1010,중구
1,서울종로경찰서,5,4,1,0,136,114,744,398,1131,993,종로구
2,서울남대문경찰서,1,1,6,4,75,52,798,417,779,709,중구
3,서울서대문경찰서,5,4,3,3,206,189,1062,585,1526,1235,서대문구
4,서울혜화경찰서,1,1,2,2,100,58,739,340,831,712,종로구
5,서울용산경찰서,1,1,3,2,331,285,1096,522,1980,1733,용산구
6,서울성북경찰서,1,1,0,0,125,90,600,298,886,798,성북구
7,서울동대문경찰서,2,2,5,4,145,112,1447,930,2081,1920,동대문구
8,서울마포경찰서,6,6,6,7,473,396,2011,882,2676,2278,마포구
9,서울영등포경찰서,17,15,8,6,391,267,2292,1064,3132,2570,영등포구
10,서울성동경찰서,2,2,5,8,126,102,999,487,1325,1188,성동구
11,서울동작경찰서,3,3,7,7,288,154,1151,532,1651,1394,동작구
12,서울광진경찰서,7,5,2,1,229,184,1769,974,1908,1625,광진구
13,서울서부경찰서,4,4,0,0,58,52,505,325,807,711,은평구
14,서울강북경찰서,8,6,7,7,188,135,1112,603,2122,1992,강북구
15,서울금천경찰서,6,6,7,6,200,185,1168,645,1912,1725,금천구
16,서울중랑경찰서,4,5,3,3,174,145,1526,876,2581,2193,중랑구
17,서울강남경찰서,5,8,9,8,406,352,2020,836,2188,1890,강남구
18,서울관악경찰서,9,9,10,12,352,305,2012,1025,2643,2302,관악구
19,서울강서경찰서,11,9,6,3,269,246,1724,982,2619,2229,양천구
20,서울강동경찰서,3,3,7,7,170,143,1515,765,2224,1871,강동구
21,서울종암경찰서,6,5,1,2,58,50,564,337,801,696,성북구
22,서울구로경찰서,8,8,9,9,250,181,1717,787,2826,2353,구로구
23,서울서초경찰서,5,5,4,4,407,274,1482,673,1908,1597,서초구
24,서울양천경찰서,2,3,4,14,120,111,1384,646,2005,1685,양천구
25,서울송파경찰서,5,6,6,8,309,254,2352,1034,3135,2749,송파구
26,서울노원경찰서,5,4,5,5,194,173,1422,585,2381,1958,노원구
27,서울방배경찰서,0,0,1,1,63,41,369,165,487,423,서초구
28,서울은평경찰서,4,4,1,1,130,117,773,491,1308,1158,은평구
29,서울도봉경찰서,1,1,5,3,113,117,781,431,1349,1124,도봉구
30,서울수서경찰서,5,5,5,2,194,171,984,481,1697,1443,강남구
