구별,소계,2011년 이전,2012년,2013년,2014년,2015년,2016년,2017년,2018년,최근증가율,인구수,한국인,외국인,고령자,외국인비율,고령자비율,CCTV비율,오차
강남구,5221,1944.0,195.0,316.0,430,546,765,577,448,80.97053726169844,549043,544028,5015,70029,0.9134075108871255,12.75473869988325,0.950927340845799,2577.112547074971
강동구,1879,303.0,387.0,134.0,59,144,194,273,385,112.79728199320498,430522,426219,4303,61710,0.999484346909101,14.333762269988526,0.43644691792753915,425.2202917187251
강북구,1265,243.0,88.0,141.0,74,145,254,1,319,131.6849816849817,317875,314090,3785,59808,1.1907196224931182,18.81494298073142,0.39795517105780576,716.3873194319026
강서구,1617,219.0,155.0,118.0,230,187,190,264,254,123.9612188365651,600240,593708,6532,82937,1.08823137411702,13.817306410769026,0.2693922431027589,1173.6119966959986
관악구,3985,430.0,56.0,419.0,487,609,619,694,671,186.27873563218392,519953,502117,17836,74518,3.430310047254271,14.331679978767312,0.7664154260096586,1424.4810448052585
광진구,1581,470.0,42.0,83.0,87,64,21,468,346,131.8181818181818,368337,352692,15645,47347,4.247469029720066,12.854261179300478,0.4292264963878188,545.0054401766865
구로구,3227,852.0,219.0,349.0,187,268,326,540,486,100.80896079651525,439850,406748,33102,64952,7.5257474138911,14.766852336023645,0.733659202000682,896.0467640795518
금천구,1634,27.0,17.0,242.0,101,382,136,199,530,322.22222222222223,252868,233371,19497,37191,7.71034690035908,14.707673568818514,0.6461869433854818,161.08494982197544
노원구,1906,481.0,117.0,203.0,80,461,298,110,156,116.34506242905789,539829,535282,4547,79968,0.8423037665631153,14.81357985584324,0.35307476997345455,711.4812192334903
도봉구,858,197.0,66.0,8.0,185,59,155,117,71,88.1578947368421,337594,335280,2314,58070,0.6854387222521727,17.20113509126347,0.25415143634069326,1179.8996400487308
동대문구,2003,0.0,0.0,0.0,1326,111,233,136,197,51.055806938159876,363779,346551,17228,58764,4.735842365832003,16.15376368619409,0.5506090236104888,109.94275153266244
동작구,1780,238.0,93.0,29.0,503,130,254,278,255,106.25724217844727,410487,397618,12869,61607,3.1350566522204115,15.008270663869988,0.43363127212311225,466.80235249472025
마포구,1935,585.0,108.0,69.0,70,177,359,372,195,132.5721153846154,385605,373629,11976,51961,3.1057688567316295,13.475188340400152,0.5018088458396546,240.49348482455844
서대문구,2121,565.0,233.0,214.0,114,109,277,415,194,88.36589698046181,324089,310069,14020,51708,4.325972186652431,15.954876592540938,0.6544498579094015,121.80409188140084
서초구,2835,1172.0,91.0,228.0,134,215,352,247,396,74.46153846153845,435258,431027,4231,56455,0.9720671417871699,12.970468090190185,0.651337827219718,517.206892700297
성동구,2679,665.0,109.0,118.0,101,258,201,933,294,169.78851963746223,311290,303158,8132,43662,2.612355038709885,14.026149249895594,0.8606122907899386,716.4845113537262
성북구,3003,779.0,84.0,304.0,241,279,388,285,643,113.28125,454114,441590,12524,70204,2.7578977965885216,15.459554208855044,0.66128769427941,631.1678279631951
송파구,1586,600.0,99.0,88.0,21,166,100,116,396,96.28712871287128,684338,677489,6849,86062,1.0008212316136178,12.575949311597483,0.23175682192133126,1445.6269132350744
양천구,2775,772.0,161.0,185.0,169,172,349,137,830,115.61771561771562,463931,459849,4082,60487,0.8798722223778968,13.03793020944925,0.5981492937527348,375.033467625683
영등포구,2495,132.0,121.0,206.0,217,366,289,371,793,269.0828402366864,402478,368402,34076,57350,8.46654972445699,14.249226044653373,0.619909659658416,271.1504937865402
용산구,2063,1279.0,152.0,201.0,107,102,89,60,73,18.63139735480161,244989,228830,16159,38531,6.595806342325574,15.72764491466964,0.8420786239382176,290.49533184240863
은평구,2962,1365.0,83.0,99.0,343,180,296,229,367,56.719576719576715,486159,481663,4496,79957,0.9248003225282263,16.44667691022896,0.609265692911167,498.33064990313824
종로구,1471,8.0,7.0,599.0,132,195,148,281,101,97.18498659517427,162860,151767,11093,27394,6.81137173032052,16.820582095050966,0.9032297678988088,66.13267262336103
중구,1544,25.0,165.0,114.0,80,245,270,317,328,302.08333333333337,136663,126409,10254,23025,7.503128132705999,16.84801299547061,1.1297864089036536,81.94482944059018
중랑구,1068,0.0,0.0,0.0,770,102,121,66,9,38.701298701298704,403776,398812,4964,64449,1.2293945157711206,15.961572753209701,0.2645030908226343,1159.5694206188882
